"id","name","email","gender","status","created_at","updated_at"
5859497,"Aaratrika Jha","aaratrika_jha_i@mayer-hyatt.test","female","active","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859498,"Ahalya Guneta","guneta_ahalya@gutkowski.example","female","inactive","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859499,"Paramartha Ahluwalia","paramartha_ahluwalia@dubuque-bergnaum.example","male","inactive","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859501,"Kalinda Prajapat","kalinda_prajapat@mcclure.example","male","inactive","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859502,"Bhargavi Dwivedi","dwivedi_bhargavi@stroman.test","female","active","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859503,"Bhadran Desai","desai_bhadran@harvey.test","female","active","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859504,"Gandharva Shah","shah_gandharva@hettinger.test","male","active","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859507,"Suresh Kaur","kaur_suresh@becker.example","male","active","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859508,"Ojaswini Saini JD","jd_ojaswini_saini@oconner.test","female","active","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
5859509,"Prof. Anish Jha","anish_prof_jha@bernier.test","female","active","2023-12-27T19:23:17.000Z","2023-12-27T19:23:17.000Z"
